season,week,gameday,away_team,home_team,away_score,home_score,away_spread_line,home_spread_line,pred_prob_home_cover,pred_home_covers,recommended_pick,home_off_epa_last_n,away_off_epa_last_n,home_def_epa_allowed_last_n,away_def_epa_allowed_last_n,home_pace_plays_last_n,away_pace_plays_last_n,home_ats_rate_last_n,away_ats_rate_last_n,home_point_diff_last_n,away_point_diff_last_n,home_score_for_last_n,away_score_for_last_n,home_score_against_last_n,away_score_against_last_n,home_rest,away_rest,total_line,pred_prob_total_over,pred_total_over,ou_pick,actual_home_covers,actual_result,was_correct,home_cover_margin,actual_total_over,was_correct_ou,pick_probability
2025,6,2025-10-12,TEN,LV,10,20,3.5,-3.5,0.5683517462451221,1,LV to cover (-3.5),-0.1281584065152438,-0.21729737474840993,0.07003144344125681,0.13297103983269032,61.0,58.0,0.2,0.4,-11.2,-13.6,16.6,14.6,27.8,28.2,7,7,41.5,0.4391562985124448,0,Under 41.5,1.0,LV covered (-3.5),1.0,6.5,0.0,1.0,0.5683517462451221
2025,2,2025-09-14,JAX,CIN,27,31,3.5,-3.5,0.43169148068920926,0,JAX to cover (+3.5),0.06263920174714091,0.04880230394536204,-0.08999842903546104,0.023487760069976726,64.0,64.2,0.6,0.6,7.4,1.6,25.4,21.6,18.0,20.0,7,7,49.5,0.5443147857871908,1,Over 49.5,1.0,CIN covered (-3.5),0.0,0.5,1.0,1.0,0.5683085193107907
2025,2,2025-09-15,LAC,LV,20,9,-3.5,3.5,0.43276821457201037,0,LAC to cover (-3.5),-0.044521001428654575,0.12007385376263477,-0.09612385858175934,-0.07045922622018033,61.6,64.2,0.8,0.8,1.4,8.0,18.6,29.4,17.2,21.4,8,10,46.5,0.3872317412515362,0,Under 46.5,0.0,LAC covered (-3.5),1.0,-7.5,0.0,1.0,0.5672317854279896
2025,9,2025-11-02,ATL,NE,23,24,5.5,-5.5,0.43283281534000406,0,ATL to cover (+5.5),0.19046951109176774,-0.09203272282047341,-0.13194364791210453,0.036118094017932395,56.2,60.0,1.0,0.4,15.0,-9.4,30.6,15.6,15.6,25.0,7,7,45.5,0.547672459790006,1,Over 45.5,0.0,ATL covered (+5.5),1.0,-4.5,1.0,1.0,0.5671671846599959
2025,15,2025-12-14,CLE,CHI,3,31,7.5,-7.5,0.5666439944482831,1,CHI to cover (-7.5),0.028505747127417373,-0.1924216273633333,0.003331390721061117,-0.1695712003194612,69.4,59.6,0.4,0.4,2.2,-4.0,23.8,19.4,21.6,23.4,7,7,38.5,0.4453763707763121,0,Under 38.5,1.0,CHI covered (-7.5),1.0,20.5,0.0,1.0,0.5666439944482831
2025,13,2025-11-27,GB,DET,31,24,2.5,-2.5,0.43344706096786806,0,GB to cover (+2.5),0.02215760250632121,0.11459321348271678,-0.07612142012571126,-0.08362202745089077,63.4,61.2,0.4,0.4,6.8,5.6,27.0,21.0,20.2,15.4,4,4,48.5,0.5378575070500247,1,Over 48.5,0.0,GB covered (+2.5),1.0,-9.5,1.0,1.0,0.566552939032132
2025,7,2025-10-19,LV,KC,0,31,13.5,-13.5,0.5662673495432815,1,KC to cover (-13.5),0.14063698305093927,-0.18706006169915607,-0.03514555917797539,0.021712865765675625,62.0,59.8,0.6,0.2,7.4,-10.6,26.8,16.6,19.4,27.2,7,7,44.5,0.4823621781995366,0,Under 44.5,1.0,KC covered (-13.5),1.0,17.5,0.0,1.0,0.5662673495432815
2025,5,2025-10-05,DEN,PHI,21,17,3.5,-3.5,0.4339385273543606,0,DEN to cover (+3.5),0.023533132259578295,0.019208153719283284,-0.11911911517145635,-0.045473127192645145,60.6,57.8,0.8,0.2,7.6,1.0,29.6,20.6,22.0,19.6,7,6,44.5,0.5384384879872074,1,Over 44.5,0.0,DEN covered (+3.5),1.0,-7.5,0.0,0.0,0.5660614726456394
2025,14,2025-12-07,LA,ARI,45,17,-9.5,9.5,0.4345474141926256,0,LA to cover (-9.5),-0.04187510309900326,0.14764557151706437,0.00554119796186809,-0.11722161319089604,69.2,58.4,0.4,0.6,-7.4,13.2,22.4,31.8,29.8,18.6,7,7,49.5,0.45026316448900155,0,Under 49.5,0.0,LA covered (-9.5),1.0,-18.5,1.0,0.0,0.5654525858073745
2025,1,2025-09-07,MIA,IND,8,33,1.5,-1.5,0.4355431480947651,0,MIA to cover (+1.5),-0.017687785691786546,-0.009147367289182603,0.06996636401930204,-0.06547299819410005,68.6,62.8,0.2,0.4,-3.6,3.0,27.0,22.6,30.6,19.6,7,7,47.5,0.46317668569906006,0,Under 47.5,1.0,IND covered (-1.5),0.0,23.5,0.0,1.0,0.5644568519052349
2025,7,2025-10-19,IND,LAC,38,24,2.5,-2.5,0.4356782101357398,0,IND to cover (+2.5),-0.052474158142569616,0.17543340410759617,-0.047477163758546055,-0.0044012628592547095,63.4,57.8,0.4,0.6,-0.8,10.6,20.0,32.2,20.8,21.6,7,7,48.5,0.48319296333096057,0,Under 48.5,0.0,IND covered (+2.5),1.0,-16.5,1.0,0.0,0.5643217898642602
2025,12,2025-11-23,TB,LA,7,34,7.0,-7.0,0.5640962535753709,1,LA to cover (-7.0),0.11810518556568494,-0.03496468759100254,-0.17720746381618319,-0.05139388819930857,58.8,61.6,0.8,0.4,16.8,-0.2,29.8,23.4,13.0,23.6,7,7,49.5,0.4915543033451774,0,Under 49.5,1.0,LA covered (-7.0),1.0,20.0,0.0,1.0,0.5640962535753709
2025,13,2025-11-30,ATL,NYJ,24,27,-3.0,3.0,0.4365982838586243,0,ATL to cover (-3.0),-0.09286646562061592,-0.06469371116420639,0.04772350788788536,0.03194597215136561,57.8,54.8,0.6,0.6,-5.0,-4.0,19.2,21.8,24.2,25.8,7,7,38.5,0.5152716997104775,1,Over 38.5,1.0,NYJ covered (+3.0),0.0,6.0,1.0,1.0,0.5634017161413757
2025,13,2025-11-30,BUF,PIT,26,7,-3.0,3.0,0.4378478822058674,0,BUF to cover (-3.0),-0.08935124654089763,0.1161595321418674,-0.019755133349884723,-0.0014953403007952725,59.2,61.6,0.4,0.6,0.2,5.8,24.8,28.8,24.6,23.0,7,10,44.5,0.4124854267491857,0,Under 44.5,0.0,BUF covered (-3.0),1.0,-16.0,0.0,1.0,0.5621521177941327
2025,2,2025-09-14,SF,NO,26,21,-3.0,3.0,0.43816957406914964,0,SF to cover (-3.0),-0.15135314602775302,0.048166511839881285,0.14130320276656727,0.08765189544281256,57.4,62.4,0.4,0.2,-13.0,-8.6,12.2,19.6,25.2,28.2,7,7,40.5,0.5248435848024584,1,Over 40.5,0.0,SF covered (-3.0),1.0,-2.0,1.0,1.0,0.5618304259308504
2025,7,2025-10-19,LA,JAX,35,7,-3.0,3.0,0.43866183818871696,0,LA to cover (-3.0),0.0028032520995963117,0.08637801301402226,-0.008584789220660149,-0.08138463317148084,63.4,60.2,0.6,0.6,0.6,5.0,22.6,25.2,22.0,20.2,7,7,44.5,0.4685897035995052,0,Under 44.5,0.0,LA covered (-3.0),1.0,-25.0,0.0,1.0,0.561338161811283
